classification,report_date,termination_date,termination_speed,status,recall_reason,recall_category,manufacturer_name,product_type,route,notification_type
Class II,2013-12-11,2014-04-03,191,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2014-11-05,2015-08-12,313,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Telephone
Class II,2016-02-17,2016-02-25,196,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2019-12-18,2021-10-14,682,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2023-07-12,,,Ongoing,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,Strides Pharma Science Limited, PRESCRIPTION DRUG,ORAL,Letter
Class II,2012-09-05,2013-09-18,432,Terminated,MICROBIAL CONTAMINATION OF NON STERILE PRODUCT,Contamination/Foreign Matter,nan,nan,nan,E-Mail
Class II,2014-05-28,2015-08-13,486,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,Sandoz , PRESCRIPTION DRUG,ORAL,Letter
Class III,2014-05-07,2015-02-13,308,Terminated,PRESENCE OF PRECIPITATE,Contamination/Foreign Matter,nan,nan,nan,Telephone
Class II,2016-01-27,2016-10-13,370,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2016-12-28,,,Ongoing,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,"EPIDURAL', 'INFILTRATION', 'INTRACAUDAL', 'PERINEURAL",Letter
Class II,2018-04-25,2019-01-15,291,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Press Release
Class III,2019-05-01,2021-01-14,633,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Zydus Pharmaceuticals USA ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2021-03-31,2022-09-28,568,Terminated,PRESENCE OF PARTICULATE MATTER.ONE CONFIRMED  CUSTOMER REPORT OF PARTICULATE MATTER WITHIN TWO SEMI,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2013-08-07,2013-08-15,59,Terminated,PRESENCE OF FORIEGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,FAX
Class II,2014-07-09,2017-04-10,1029,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Baxter Healthcare Corporation, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2017-04-05,2018-01-26,312,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,Mylan Pharmaceuticals ., PRESCRIPTION DRUG,ORAL,Telephone
Class I,2020-07-29,,,Completed,CHEMICAL CONTAMINATION,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2022-09-21,2022-11-16,62,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class III,2013-03-13,2013-11-01,287,Terminated,PRESENCE OF PRECIPITATE,Contamination/Foreign Matter,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2013-08-21,2014-06-23,328,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2014-09-24,2016-09-21,803,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Baxter Healthcare Corporation, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class I,2015-04-15,2017-04-14,862,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Baxter Healthcare Corporation, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2016-01-27,2017-03-10,444,Terminated,MICROBIAL CONTAMINATION OF NON STERILE PRODUCTS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2018-12-26,2021-02-09,798,Terminated,PRESENCE OF FOREIGN TABLET,Contamination/Foreign Matter,EPIC PHARMA, PRESCRIPTION DRUG,ORAL,Letter
Class III,2020-12-02,2022-08-25,646,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,Fresenius Kabi USA, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class I,2013-05-22,2014-01-06,340,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,E-Mail
Class II,2014-04-16,2015-01-21,309,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2014-05-07,2015-02-24,309,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Baxter Healthcare Corporation, PRESCRIPTION DRUG,IRRIGATION,Letter
Class I,2015-07-15,2016-01-26,278,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,"EPIDURAL', 'INFILTRATION', 'INTRACAUDAL', 'PERINEURAL","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2022-10-26,,,Ongoing,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Eugia US , PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2015-09-16,2017-03-16,588,Terminated,CHEMICAL CONTAMINATION,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2021-08-18,2023-06-08,679,Terminated,PRESENCE OF FOREIN TABLETS,Contamination/Foreign Matter,Northstar Rx , PRESCRIPTION DRUG,ORAL,Letter
Class II,2013-12-25,2014-08-14,280,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2016-06-22,2018-09-24,871,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2017-08-23,2018-03-29,237,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Janssen Products, PRESCRIPTION DRUG,"INTRAVENOUS', 'SUBCUTANEOUS",Letter
Class II,2017-12-27,2018-12-13,400,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2020-02-19,,,Completed,CROSS CONTAMINATION,Contamination/Foreign Matter,Taro Pharmaceuticals U.S.A., PRESCRIPTION DRUG,ORAL,Letter
Class I,2020-09-02,2021-05-21,296,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCT,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2021-05-26,2023-07-29,817,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,"INTRAMUSCULAR', 'INTRAVENOUS', 'SUBCUTANEOUS",Letter
Class I,2022-10-12,,,Ongoing,CHEMICAL CONTAMINATION,Contamination/Foreign Matter,nan,nan,nan,Letter
Class III,2013-03-13,2014-10-09,603,Terminated,CHEMICAL CONTAMINATION,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2020-02-19,2020-10-22,265,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Press Release
Class I,2022-03-30,2022-08-01,188,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,Blaine Labs ., OTC DRUG,TOPICAL,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class I,2023-02-01,,,Completed,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,INTRAVENOUS,Press Release
Class I,2014-03-26,2016-09-20,1037,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Baxter Healthcare Corporation, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2014-04-30,2015-06-30,460,Terminated,PRESENCE OF PARTICULATE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2015-03-04,2015-10-23,275,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2016-08-17,2017-01-26,218,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2022-04-20,2023-06-20,448,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Teva Parenteral Medicines, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2013-03-06,2015-01-21,744,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2014-01-29,2014-10-16,308,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2015-04-01,2016-11-23,712,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,Telephone
Class II,2017-02-01,2017-03-09,1024,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,nan
Class II,2019-12-04,2020-11-17,372,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,Asclemed USA, PRESCRIPTION DRUG,"EPIDURAL', 'INFILTRATION', 'INTRA-ARTICULAR', 'TOPICAL",Letter
Class II,2013-02-13,2013-12-23,327,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Mylan Pharmaceuticals ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2015-08-19,2017-04-19,644,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,GlaxoSmithKline Consumer Healthcare Holdings (US) , OTC DRUG,ORAL,Letter
Class II,2016-03-09,2016-11-16,285,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Baxter Healthcare Corporation, PRESCRIPTION DRUG,IRRIGATION,Letter
Class II,2016-05-11,2016-09-13,159,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2018-01-24,2018-09-12,267,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,Unichem Pharmaceuticals (USA), PRESCRIPTION DRUG,ORAL,Letter
Class II,2018-05-02,2020-11-24,964,Terminated,PRESENCE OF PARTICULATE MATTER. RECALL DUE TO PRESENCE OF UNKNOWN PARTICULATE MATTER.,Contamination/Foreign Matter,nan,nan,nan,E-Mail
Class I,2018-09-19,2021-01-27,888,Terminated,MICROBIAL CONTAMINATION OF NON STERILE PRODUCTS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2014-05-07,2014-12-04,378,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,B. Braun Medical ., PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2015-08-19,2016-05-26,329,Terminated,PRESENCE OF PARTICULATE MATTER AND LACK OF ASSURANCE OF STERILITY,Contamination/Foreign Matter,Baxter Healthcare Corporation, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2017-08-09,2020-05-29,1078,Terminated,PRESENCE OF  FOREIGN TABLETS,Contamination/Foreign Matter,TIME CAP LABORATORIES, PRESCRIPTION DRUG,ORAL,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2017-11-29,2019-03-15,483,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Lupin Pharmaceuticals, PRESCRIPTION DRUG,ORAL,Letter
Class I,2023-10-25,,,Ongoing,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2012-10-31,2013-11-21,398,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2013-11-13,2014-06-02,258,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Amgen , PRESCRIPTION DRUG,SUBCUTANEOUS,Letter
Class II,2014-12-17,2015-06-16,418,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Baxter Healthcare Corporation, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class I,2014-10-08,2017-04-28,995,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Baxter Healthcare Corporation, PRESCRIPTION DRUG,INTRAPERITONEAL,Letter
Class III,2016-11-30,2017-05-08,214,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2018-04-04,2020-08-03,962,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Amneal Pharmaceuticals , PRESCRIPTION DRUG,"INTRAMUSCULAR', 'INTRAVENOUS",Letter
Class I,2018-09-05,,,Ongoing,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2021-07-14,2022-04-04,290,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2023-07-19,,,Ongoing,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Accord Healthcare ., PRESCRIPTION DRUG,"ENDOTRACHEAL', 'INTRAMEDULLARY', 'INTRAMUSCULAR', 'INTRAVENOUS', 'SUBCUTANEOUS",Letter
Class II,2014-01-01,2014-07-10,261,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,Sandoz , PRESCRIPTION DRUG,ORAL,Letter
Class II,2014-10-22,2017-09-20,1101,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Zydus Pharmaceuticals USA ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2015-03-04,2017-05-02,810,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,Par Pharmaceutical, PRESCRIPTION DRUG,TOPICAL,Letter
Class I,2015-08-26,2016-12-01,503,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Baxter Healthcare Corporation, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2016-01-20,2016-06-24,472,Terminated,PENICILLIN CROSS CONTAMINATION,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2018-08-08,2022-08-25,1519,Terminated,MICROBIAL CONTAMINATION OF STERILE PRODUCTS,Contamination/Foreign Matter,nan,nan,nan,Press Release
Class II,2019-07-31,2023-08-14,1487,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2020-02-19,2020-08-18,235,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,Letter
Class III,2020-07-22,2022-07-28,945,Terminated,CHEMICAL CONTAMINATION,Contamination/Foreign Matter,Akorn, PRESCRIPTION DRUG,OPHTHALMIC,Letter
Class II,2022-02-23,,,Ongoing,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Telephone
Class III,2014-05-07,2015-03-28,347,Terminated,PRESENCE OF PRECIPITATE,Contamination/Foreign Matter,nan,nan,nan,Telephone
Class II,2014-05-28,2015-03-16,328,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,SIGMAPHARM LABORATORIES, PRESCRIPTION DRUG,ORAL,Letter
Class I,2015-04-29,2017-01-17,728,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,Press Release
Class II,2015-05-06,2016-10-27,563,Terminated,CHEMICAL CONTAMINATION,Contamination/Foreign Matter,Teva Pharmaceuticals USA, PRESCRIPTION DRUG,ORAL,Letter
Class II,2015-10-21,2016-08-02,315,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2016-12-07,2017-06-07,217,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Ascend Laboratories, PRESCRIPTION DRUG,ORAL,Letter
Class II,2019-12-18,2020-02-07,73,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2020-08-12,2023-10-16,1202,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,E-Mail
Class II,2021-09-22,2023-03-07,565,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Rhodes Pharmaceuticals L.P., PRESCRIPTION DRUG,ORAL,Letter
Class II,2022-04-06,,,Ongoing,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,Aurolife Pharma , PRESCRIPTION DRUG,ORAL,Letter
Class II,2014-09-24,2015-07-23,322,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,"EPIDURAL', 'INFILTRATION', 'INTRACAUDAL', 'PERINEURAL",Letter
Class II,2015-05-20,2017-01-26,637,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2016-03-30,2017-09-22,570,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2017-12-06,2020-09-01,1016,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Zydus Pharmaceuticals USA ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2019-01-30,2020-03-03,413,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2020-02-12,2022-11-29,1036,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Biocon Pharma ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2013-06-26,2014-04-17,317,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Pharmacia & Upjohn Company , PRESCRIPTION DRUG,"INTRAMUSCULAR', 'INTRAVENOUS",Letter
Class II,2015-06-24,2016-09-27,475,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class III,2017-07-12,2019-01-14,577,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCT,Contamination/Foreign Matter,Sandoz , PRESCRIPTION DRUG,ORAL,Letter
Class II,2018-08-01,2019-03-11,242,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Sun Pharmaceutical Industries, PRESCRIPTION DRUG,INTRAMUSCULAR,Letter
Class II,2022-10-12,,,Ongoing,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class III,2013-05-22,2014-10-09,552,Terminated,CHEMICAL CONTAMINATION,Contamination/Foreign Matter,Glenmark Pharmaceuticals ., PRESCRIPTION DRUG,ORAL,Letter
Class III,2013-05-08,2013-05-17,725,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,nan,nan,nan,FAX
Class I,2014-05-28,2017-05-10,1161,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Wyeth Pharmaceuticals , PRESCRIPTION DRUG,ORAL,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class III,2014-12-10,2017-06-21,1001,Terminated,PRESENCE OF FOREIGN CAPSULES,Contamination/Foreign Matter,nan,nan,nan,Letter
Class III,2020-03-04,2022-07-28,888,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Akorn, OTC DRUG,OPHTHALMIC,Letter
Class I,2020-08-12,,,Completed,CHEMICAL CONTAMINATION,Contamination/Foreign Matter,nan,nan,nan,E-Mail
Class II,2012-10-03,2013-05-21,298,Terminated,ADULTERATED PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Mylan Pharmaceuticals ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2012-12-12,2013-07-12,249,Terminated,ADULTERATED PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2013-08-14,2014-10-28,526,Terminated,PRESENCE OF PARTICULATE,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,"INTRAMUSCULAR', 'INTRAVENOUS",Letter
Class II,2014-06-11,2014-07-09,86,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,E-Mail
Class III,2016-11-30,2017-09-28,350,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2020-12-16,2022-09-12,664,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,Fresenius Kabi USA, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2012-08-08,2012-12-18,224,Terminated,CROSS CONTAMINATION W,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2014-04-30,2016-08-31,901,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Takeda Pharmaceuticals America, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2015-01-07,2017-05-04,869,Terminated,MICROBIAL CONTAMINATION OF NON STERILE PRODUCT,Contamination/Foreign Matter,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2015-11-25,2015-11-27,158,Terminated,PENICILLIN CROSS CONTAMINATION,Contamination/Foreign Matter,nan,nan,nan,Telephone
Class II,2017-11-29,2018-06-19,238,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,American Health Packaging, PRESCRIPTION DRUG,ORAL,Letter
Class II,2019-11-20,2020-04-16,167,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,KVK-Tech, PRESCRIPTION DRUG,ORAL,Letter
Class II,2019-12-25,2023-04-04,1232,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2023-02-08,,,Ongoing,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Press Release
Class II,2012-11-14,2013-11-21,622,Terminated,ADULTERATED PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,nan,nan,nan,FAX
Class II,2014-06-04,2015-02-05,259,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,Sandoz , PRESCRIPTION DRUG,ORAL,Letter
Class I,2015-09-30,2017-01-27,730,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,E-Mail
Class II,2017-04-19,,,Ongoing,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Telephone
Class III,2021-01-20,2021-11-05,317,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,Genus Lifesciences ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2023-02-22,2023-04-27,140,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2013-07-17,2014-10-28,544,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,"INTRAMUSCULAR', 'INTRAVENOUS",Letter
Class II,2017-04-12,2021-05-25,1530,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Takeda Pharmaceuticals America, PRESCRIPTION DRUG,SUBCUTANEOUS,Letter
Class II,2017-09-20,2020-01-06,871,Terminated,PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Zydus Pharmaceuticals USA ., PRESCRIPTION DRUG,ORAL,Letter
Class III,2020-06-10,2021-10-22,512,Terminated,PRESENCE OF FOREIGN SUBSTANCE CONSISTENT WITH GRANULES FROM DESICCANT PACKS USED DURING STORAGE,Contamination/Foreign Matter,AvKARE, PRESCRIPTION DRUG,ORAL,Letter
Class II,2016-01-27,2017-03-22,504,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,Letter
Class I,2018-05-16,,,Ongoing,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Eugia US , PRESCRIPTION DRUG,"INTRAMUSCULAR', 'INTRAVENOUS",Letter
Class III,2019-10-23,2020-04-20,199,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2012-11-28,2014-03-06,562,Terminated,ADULTERATED PRESENCE OF FOREIGN TABLETS,Contamination/Foreign Matter,Sun Pharmaceutical Industries ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2013-05-01,2014-11-03,574,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2013-09-04,2016-02-08,921,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2014-03-12,2017-02-01,1087,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,"EPIDURAL', 'INFILTRATION', 'INTRACAUDAL', 'PERINEURAL",Letter
Class III,2015-09-16,2015-11-27,108,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,Golden State Medical Supply, PRESCRIPTION DRUG,ORAL,Letter
Class II,2018-01-31,2019-12-18,720,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2018-11-21,2020-10-02,700,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,Sandoz ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2018-11-28,2020-09-28,692,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,nan,nan,nan,Letter
Class II,2018-12-05,2020-03-30,502,Terminated,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,Ascend Laboratories, PRESCRIPTION DRUG,ORAL,Letter
Class II,2019-09-04,2023-06-20,1406,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,ROERIG, PRESCRIPTION DRUG,ORAL,Press Release
Class I,2023-05-17,,,Ongoing,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,Camber Pharmaceuticals, PRESCRIPTION DRUG,ORAL,Letter
Class III,2012-09-05,2014-01-10,532,Terminated,MICROBIAL CONTAMINATION OF A NON,Contamination/Foreign Matter,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class I,2019-05-29,2023-11-28,1662,Terminated,CROSS CONTAMINATION WITH OTHER PRODUCTS,Contamination/Foreign Matter,Novartis Pharmaceuticals Corporation, PRESCRIPTION DRUG,ORAL,Press Release
Class II,2023-08-02,,,Ongoing,PRESENCE OF FOREIGN SUBSTANCE,Contamination/Foreign Matter,Sun Pharmaceutical Industries, PRESCRIPTION DRUG,ORAL,Letter
Class II,2020-04-08,2021-06-30,455,Terminated,PRESENCE OF FOREIGN TABLET,Contamination/Foreign Matter,Lupin Pharmaceuticals, PRESCRIPTION DRUG,ORAL,Letter
Class I,2020-09-23,2021-01-27,163,Terminated,MICROBIAL CONTAMINATION OF NON,Contamination/Foreign Matter,nan,nan,nan,Press Release
Class II,2013-02-20,2014-02-27,469,Terminated,PRESENCE OF PARTICULATE MATTER,Contamination/Foreign Matter,Hospira, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class III,2013-05-08,2014-06-09,479,Terminated,CHEMICAL CONTAMINATION,Contamination/Foreign Matter,nan,nan,nan,Letter
